cluster_id,normalized_surface_id,broken_invariant_id,trigger_precondition,environment_scope,atomic_finding_count,candidate_count
CS-0001,cli:gpd.suggest,state-projection-parity,gpd suggest,product_local_or_unknown,553,77
CS-0002,unknown,unknown,unknown,product_local_or_unknown,368,134
CS-0003,cli:gpd.resume,resume-session-continuity,gpd resume,product_local_or_unknown,343,56
CS-0004,cli:gpd.state.validate,validation-contract-precision,gpd state validate,product_local_or_unknown,224,48
CS-0005,unknown,state-projection-parity,unknown,product_local_or_unknown,218,92
CS-0006,cli:gpd.phase.index,state-projection-parity,gpd phase index 01,product_local_or_unknown,185,10
CS-0007,cli:gpd.resume,state-projection-parity,gpd resume,product_local_or_unknown,183,55
CS-0008,raw:gpd.resume,resume-session-continuity,gpd resume --raw,product_local_or_unknown,150,17
CS-0009,cli:gpd.progress,state-projection-parity,gpd progress,product_local_or_unknown,141,26
CS-0010,cli:gpd.health,unknown,gpd health,product_local_or_unknown,125,36
CS-0011,unknown,resume-session-continuity,unknown,product_local_or_unknown,111,60
CS-0012,unknown,validation-contract-precision,unknown,product_local_or_unknown,110,46
CS-0013,cli:gpd.phase.add,unknown,gpd phase add,product_local_or_unknown,77,24
CS-0014,cli:gpd.health,state-projection-parity,gpd health,product_local_or_unknown,66,30
CS-0015,unknown,state-projection-parity,GPD/state.json,product_local_or_unknown,66,18
CS-0016,unknown,state-projection-parity,GPD/STATE.md,product_local_or_unknown,63,11
CS-0017,cli:gpd.state.load,state-projection-parity,gpd state load,product_local_or_unknown,55,11
CS-0018,unknown,unknown,GPD/state.json,product_local_or_unknown,53,18
CS-0019,cli:gpd.state.validate,state-projection-parity,gpd state validate,product_local_or_unknown,52,27
CS-0020,unknown,registry-query-visibility,unknown,product_local_or_unknown,52,25
CS-0021,cli:gpd.roadmap.analyze,state-projection-parity,gpd roadmap analyze,product_local_or_unknown,51,16
CS-0022,raw:gpd.resume,state-projection-parity,gpd resume --raw,product_local_or_unknown,51,13
CS-0023,cli:gpd.verify.phase,unknown,gpd verify phase 01,product_local_or_unknown,50,7
CS-0024,cli:gpd.validate.summary-contract,validation-contract-precision,gpd validate summary-contract,product_local_or_unknown,48,4
CS-0025,cli:gpd.health,validation-contract-precision,gpd health,product_local_or_unknown,47,29
CS-0026,cli:gpd.state.validate,resume-session-continuity,gpd state validate,product_local_or_unknown,47,19
CS-0027,raw:gpd.resume,state-projection-parity,gpd --raw resume,product_local_or_unknown,45,10
CS-0028,cli:gpd.state.update-progress,state-projection-parity,gpd state update-progress,product_local_or_unknown,44,9
CS-0029,unknown,resume-session-continuity,GPD/config.json,product_local_or_unknown,43,8
CS-0030,cli:gpd.init.new-project,unknown,gpd init new-project,product_local_or_unknown,42,10
CS-0031,cli:gpd.phase.add,state-projection-parity,gpd phase add,product_local_or_unknown,41,23
CS-0032,unknown,state-projection-parity,GPD/config.json,product_local_or_unknown,41,11
CS-0033,cli:gpd.resume,registry-query-visibility,gpd resume,product_local_or_unknown,39,28
CS-0034,cli:gpd.state.record-session,resume-session-continuity,gpd state record-session,product_local_or_unknown,39,4
CS-0035,unknown,state-projection-parity,GPD/ROADMAP.md,product_local_or_unknown,39,6
CS-0036,unknown,mutation-ordering-durability,GPD/CONVENTIONS.md,product_local_or_unknown,38,3
CS-0037,unknown,resume-session-continuity,GPD/state.json,product_local_or_unknown,38,10
CS-0038,unknown,state-projection-parity,GPD/phases/,product_local_or_unknown,38,6
CS-0039,cli:gpd.health,resume-session-continuity,gpd health,product_local_or_unknown,36,17
CS-0040,unknown,resume-session-continuity,GPD/STATE.md,product_local_or_unknown,35,6
CS-0041,cli:gpd.state.snapshot,state-projection-parity,gpd state snapshot,product_local_or_unknown,31,11
CS-0042,cli:gpd.resume,resume-session-continuity,gpd resume,runtime_boundary,30,22
CS-0043,cli:gpd.validate.project-contract,validation-contract-precision,gpd validate project-contract,product_local_or_unknown,30,6
CS-0044,cli:gpd.convention.check,unknown,gpd convention check,product_local_or_unknown,27,4
CS-0045,cli:gpd.suggest,state-projection-parity,gpd suggest,runtime_boundary,27,21
CS-0046,cli:gpd.state.set-project-contract,validation-contract-precision,gpd state set-project-contract -,product_local_or_unknown,26,5
CS-0047,unknown:runtime-bridge,state-projection-parity,GPD/ROADMAP.md,environment_or_sandbox,26,1
CS-0048,cli:gpd.validate.plan-contract,validation-contract-precision,gpd validate plan-contract,product_local_or_unknown,25,3
CS-0049,cli:gpd.validate.review-preflight,validation-contract-precision,gpd validate review-preflight verify-work 01 --strict,product_local_or_unknown,24,5
CS-0050,cli:gpd.frontmatter.get,validation-contract-precision,gpd frontmatter get,product_local_or_unknown,23,1
CS-0051,cli:gpd.health,registry-query-visibility,gpd health,product_local_or_unknown,23,17
CS-0052,cli:gpd.suggest,state-projection-parity,gpd suggest,environment_or_sandbox,23,21
CS-0053,cli:gpd.verify.phase,state-projection-parity,gpd verify phase 01,product_local_or_unknown,23,8
CS-0054,raw:gpd.health,state-projection-parity,gpd --raw health,product_local_or_unknown,23,5
CS-0055,raw:gpd.state.snapshot,state-projection-parity,gpd --raw state snapshot,product_local_or_unknown,23,1
CS-0056,cli:gpd.suggest,registry-query-visibility,gpd suggest,product_local_or_unknown,22,17
CS-0057,cli:gpd.observe.sessions,unknown,gpd observe sessions --last 5,product_local_or_unknown,21,4
CS-0058,cli:gpd.progress,state-projection-parity,gpd progress --help,product_local_or_unknown,21,3
CS-0059,runtime:gpd.execute-phase,validation-contract-precision,gpd validate command-context gpd:execute-phase,product_local_or_unknown,21,1
CS-0060,runtime:gpd.main,unknown,gpd-main,environment_or_sandbox,21,5
CS-0061,runtime:gpd.progress,state-projection-parity,gpd-progress,product_local_or_unknown,21,3
CS-0062,cli:gpd.convention.set,unknown,gpd convention set,product_local_or_unknown,20,6
CS-0063,cli:gpd.init.new-project,state-projection-parity,gpd init new-project,product_local_or_unknown,20,10
CS-0064,unknown,runtime-bridge-parity,unknown,runtime_boundary,20,5
CS-0065,unknown,validation-contract-precision,GPD/state.json,product_local_or_unknown,20,7
CS-0066,cli:gpd.init.plan-phase,state-projection-parity,gpd init plan-phase 01 --stage phase_bootstrap,product_local_or_unknown,19,5
CS-0067,cli:gpd.health,runtime-bridge-parity,gpd health,runtime_boundary,18,15
CS-0068,cli:gpd.init.plan-phase,unknown,gpd init plan-phase 01 --stage phase_bootstrap,product_local_or_unknown,18,6
CS-0069,cli:gpd.validate.unattended-readiness,runtime-bridge-parity,gpd validate unattended-readiness --runtime codex --local,runtime_boundary,18,2
CS-0070,unknown,state-projection-parity,GPD tools still do not function here,product_local_or_unknown,18,1
CS-0071,unknown,resume-session-continuity,GPD/phases/01-anchor-literature-and-contour-question/CONTEXT.md,product_local_or_unknown,17,1
CS-0072,unknown,unknown,GPD/CONVENTIONS.md,product_local_or_unknown,17,3
CS-0073,unknown,validation-contract-precision,GPD/STATE.md,product_local_or_unknown,17,3
CS-0074,cli:gpd.frontmatter.validate,validation-contract-precision,gpd frontmatter validate --schema summary .../SUMMARY.md,product_local_or_unknown,16,1
CS-0075,cli:gpd.progress.table,state-projection-parity,gpd progress table,product_local_or_unknown,16,3
CS-0076,cli:gpd.query.deps,registry-query-visibility,gpd query deps qfc-core,product_local_or_unknown,16,1
CS-0077,raw:gpd.health,validation-contract-precision,gpd --raw health,product_local_or_unknown,16,2
CS-0078,raw:gpd.init.resume,resume-session-continuity,gpd --raw init resume,product_local_or_unknown,16,1
CS-0079,raw:gpd.resume,resume-session-continuity,gpd --raw resume,product_local_or_unknown,16,3
CS-0080,raw:gpd.state.snapshot,state-projection-parity,gpd state snapshot --raw,product_local_or_unknown,16,1
CS-0081,raw:gpd.uncertainty.list,unknown,gpd --raw uncertainty list,product_local_or_unknown,16,1
CS-0082,unknown,unknown,git check-ignore -v,product_local_or_unknown,16,3
CS-0083,cli:gpd.observe.sessions,resume-session-continuity,gpd observe sessions --last 5,product_local_or_unknown,15,4
CS-0084,cli:gpd.state.validate,registry-query-visibility,gpd state validate,product_local_or_unknown,15,9
CS-0085,unknown,mutation-ordering-durability,unknown,product_local_or_unknown,15,14
CS-0086,unknown,registry-query-visibility,GPD/config.json,product_local_or_unknown,15,9
CS-0087,unknown,resume-session-continuity,GPD/PROJECT.md,product_local_or_unknown,15,4
CS-0088,unknown,state-projection-parity,GPD/CHECKPOINTS.md,product_local_or_unknown,15,3
CS-0089,unknown,state-projection-parity,GPD/phases,product_local_or_unknown,15,2
CS-0090,unknown,unknown,GPD/phases,product_local_or_unknown,15,1
CS-0091,unknown,unknown,GPD/phases/,product_local_or_unknown,15,3
CS-0092,cli:gpd.init.resume,resume-session-continuity,gpd init resume,product_local_or_unknown,14,2
CS-0093,cli:gpd.phase.add,resume-session-continuity,gpd phase add,product_local_or_unknown,14,6
CS-0094,cli:gpd.phase.index,state-projection-parity,gpd phase index 01,runtime_boundary,14,7
CS-0095,cli:gpd.query.deps,registry-query-visibility,gpd query deps,product_local_or_unknown,14,3
CS-0096,cli:gpd.state.validate,runtime-bridge-parity,gpd state validate,runtime_boundary,14,7
CS-0097,raw:gpd.resume,registry-query-visibility,gpd resume --raw,product_local_or_unknown,14,9
CS-0098,runtime:gpd.execute-phase,state-projection-parity,gpd:execute-phase,product_local_or_unknown,14,3
CS-0099,unknown,placeholder-sentinel-normalization,GPD/phases/05-bootstrap-stress-test-placeholder-phase/,product_local_or_unknown,14,2
CS-0100,cli:gpd.health,unknown,gpd health --fix,product_local_or_unknown,13,4
CS-0101,raw:gpd.init.new-project,unknown,gpd --raw init new-project,product_local_or_unknown,13,1
CS-0102,raw:gpd.init.progress,state-projection-parity,gpd --raw init progress,product_local_or_unknown,13,2
CS-0103,raw:gpd.verify.summary,unknown,gpd verify summary --raw,product_local_or_unknown,13,1
CS-0104,unknown,citation-reference-propagation,GPD/PROJECT.md,product_local_or_unknown,13,1
CS-0105,unknown,registry-query-visibility,GPD/state.json,product_local_or_unknown,13,9
CS-0106,cli:gpd.init.new-project,resume-session-continuity,gpd init new-project,product_local_or_unknown,12,3
CS-0107,cli:gpd.init.plan-phase,validation-contract-precision,gpd init plan-phase 01 --stage phase_bootstrap,product_local_or_unknown,12,5
CS-0108,cli:gpd.init.progress,state-projection-parity,gpd init progress --include config,product_local_or_unknown,12,1
CS-0109,cli:gpd.phase.index,registry-query-visibility,gpd phase index 01,product_local_or_unknown,12,6
CS-0110,cli:gpd.state.patch,unknown,gpd state patch,product_local_or_unknown,12,8
CS-0111,cli:gpd.verify.phase,resume-session-continuity,gpd verify phase 01,product_local_or_unknown,12,4
CS-0112,runtime:gpd.resume,state-projection-parity,gpd:resume,product_local_or_unknown,12,1
CS-0113,unknown,state-projection-parity,GPD/PROJECT.md,product_local_or_unknown,12,6
CS-0114,cli:gpd.approximation.list,unknown,gpd approximation list,product_local_or_unknown,11,2
CS-0115,cli:gpd.convention.list,unknown,gpd convention list,product_local_or_unknown,11,5
CS-0116,cli:gpd.observe.event,unknown,gpd observe event,product_local_or_unknown,11,4
CS-0117,cli:gpd.query.deps,registry-query-visibility,gpd query deps modular-bootstrap-comparison,product_local_or_unknown,11,1
CS-0118,cli:gpd.result.deps,mutation-ordering-durability,gpd result deps R-01-farrelly-parallel,product_local_or_unknown,11,3
CS-0119,unknown,registry-query-visibility,GPD/state.json.bak,product_local_or_unknown,11,2
CS-0120,cli:gpd.history-digest,unknown,gpd history-digest,product_local_or_unknown,10,1
CS-0121,cli:gpd.progress,state-projection-parity,gpd progress --reconcile,product_local_or_unknown,10,3
CS-0122,cli:gpd.result.list,unknown,gpd result list,product_local_or_unknown,10,5
CS-0123,cli:gpd.suggest,mutation-ordering-durability,gpd suggest,product_local_or_unknown,10,8
CS-0124,cli:gpd.validate.unattended-readiness,state-projection-parity,gpd validate unattended-readiness --runtime codex --local,runtime_boundary,10,3
CS-0125,raw:gpd.progress,state-projection-parity,gpd progress --raw,product_local_or_unknown,10,2
CS-0126,raw:gpd.state.update,resume-session-continuity,"gpd --raw state update current_focus ""Session 4 stale-state probe""",product_local_or_unknown,10,2
CS-0127,raw:gpd.state.validate,validation-contract-precision,gpd --raw state validate,product_local_or_unknown,10,4
CS-0128,unknown,state-projection-parity,GPD/state.json.bak,product_local_or_unknown,10,2
CS-0129,unknown,unknown,GPD/config.json,product_local_or_unknown,10,4
CS-0130,unknown:runtime-bridge,resume-session-continuity,GPD/config.json,runtime_boundary,10,5
CS-0131,cli:gpd.init.execute-phase,unknown,gpd init execute-phase 01 --stage phase_bootstrap,product_local_or_unknown,9,3
CS-0132,cli:gpd.phase.add,mutation-ordering-durability,gpd phase add,product_local_or_unknown,9,8
CS-0133,cli:gpd.result.search,unknown,gpd result search crossed-product,product_local_or_unknown,9,1
CS-0134,cli:gpd.state.patch,unknown,gpd state patch Status ...,product_local_or_unknown,9,3
CS-0135,cli:gpd.suggest,interface-contract-parity,gpd suggest,product_local_or_unknown,9,7
CS-0136,cli:gpd.validate.plan-contract,state-projection-parity,gpd validate plan-contract,product_local_or_unknown,9,3
CS-0137,cli:gpd.validate.summary-contract,state-projection-parity,gpd validate summary-contract,product_local_or_unknown,9,4
CS-0138,cli:gpd.verify.phase,unknown,gpd verify phase 1,product_local_or_unknown,9,3
CS-0139,raw:gpd.health,runtime-bridge-parity,gpd --raw health,runtime_boundary,9,2
CS-0140,raw:gpd.resume,resume-session-continuity,gpd resume --raw,runtime_boundary,9,5
CS-0141,unknown,resume-session-continuity,GPD/phases,product_local_or_unknown,9,1
CS-0142,unknown,runtime-bridge-parity,GPD/phases/01-literature-anchor-inventory-and-saddle-taxonomy/,runtime_boundary,9,1
CS-0143,unknown,state-projection-parity,GPD/,product_local_or_unknown,9,2
CS-0144,unknown,validation-contract-precision,GPD/PROJECT.md,product_local_or_unknown,9,2
CS-0145,cli:gpd.calculation.list,unknown,gpd calculation list,product_local_or_unknown,8,1
CS-0146,cli:gpd.init.execute-phase,validation-contract-precision,gpd init execute-phase 01 --stage phase_bootstrap,product_local_or_unknown,8,3
CS-0147,cli:gpd.init.new-project,runtime-bridge-parity,gpd init new-project,runtime_boundary,8,5
CS-0148,cli:gpd.init.plan-phase,unknown,gpd init plan-phase 1 --stage phase_bootstrap,product_local_or_unknown,8,2
CS-0149,cli:gpd.observe.event,resume-session-continuity,gpd observe event,product_local_or_unknown,8,4
CS-0150,cli:gpd.observe.sessions,state-projection-parity,gpd observe sessions --last 5,product_local_or_unknown,8,2
CS-0151,cli:gpd.observe.sessions,unknown,gpd observe sessions,product_local_or_unknown,8,2
CS-0152,cli:gpd.phase.add,validation-contract-precision,gpd phase add,product_local_or_unknown,8,8
CS-0153,cli:gpd.progress.json,state-projection-parity,gpd progress json,product_local_or_unknown,8,2
CS-0154,cli:gpd.result,unknown,gpd result *,product_local_or_unknown,8,1
CS-0155,cli:gpd.roadmap.analyze,state-projection-parity,gpd roadmap analyze,runtime_boundary,8,6
CS-0156,cli:gpd.state.compact,unknown,gpd state compact,product_local_or_unknown,8,2
CS-0157,cli:gpd.state.record-session,resume-session-continuity,"gpd state record-session --stopped-at ""Session 5 deeper state, dependency, and readiness audit complete; phase 01 still ready to plan"" --resume-file HANDOFF.md --last-result-id R-CRIT-01",product_local_or_unknown,8,1
CS-0158,cli:gpd.state.record-session,state-projection-parity,gpd state record-session,product_local_or_unknown,8,3
CS-0159,cli:gpd.state.set-project-contract,validation-contract-precision,gpd state set-project-contract GPD/project_contract.json,product_local_or_unknown,8,1
CS-0160,cli:gpd.state.validate,mutation-ordering-durability,gpd state validate,product_local_or_unknown,8,8
CS-0161,cli:gpd.validate.command-context,state-projection-parity,gpd validate command-context progress,product_local_or_unknown,8,3
CS-0162,cli:gpd.validate.plan-contract,validation-contract-precision,gpd validate plan-contract ...01-01-PLAN.md,product_local_or_unknown,8,1
CS-0163,cli:gpd.validate.review-preflight,state-projection-parity,gpd validate review-preflight verify-work 01 --strict,product_local_or_unknown,8,5
CS-0164,cli:gpd.validate.unattended-readiness,resume-session-continuity,gpd validate unattended-readiness --runtime codex --local,runtime_boundary,8,3
CS-0165,raw:gpd.resume,state-projection-parity,gpd --raw resume,runtime_boundary,8,5
CS-0166,runtime:gpd.execute-phase,runtime-bridge-parity,gpd:execute-phase,runtime_boundary,8,2
CS-0167,unknown,unknown,GPD/phases/01-map-the-quantum-information-derivations-of-rt/01-01-PLAN.md,product_local_or_unknown,8,1
CS-0168,unknown:runtime-bridge,runtime-bridge-parity,GPD tools still return `user cancelled MCP tool call,runtime_boundary,8,1
CS-0169,cli:gpd.convention.list,state-projection-parity,gpd convention list,product_local_or_unknown,7,5
CS-0170,cli:gpd.health,state-projection-parity,gpd health --fix,product_local_or_unknown,7,6
CS-0171,cli:gpd.init.new-project,registry-query-visibility,gpd init new-project,product_local_or_unknown,7,5
CS-0172,cli:gpd.init.new-project,state-projection-parity,gpd init new-project --stage post_scope,product_local_or_unknown,7,2
CS-0173,cli:gpd.init.new-project,validation-contract-precision,gpd init new-project,product_local_or_unknown,7,5
CS-0174,cli:gpd.init.phase-op,state-projection-parity,gpd init phase-op 01,product_local_or_unknown,7,2
CS-0175,cli:gpd.init.plan-phase,unknown,gpd init plan-phase 1,product_local_or_unknown,7,2
CS-0176,cli:gpd.init.plan-phase,validation-contract-precision,gpd init plan-phase 1 --stage phase_bootstrap,product_local_or_unknown,7,2
CS-0177,cli:gpd.phase.add,registry-query-visibility,gpd phase add,product_local_or_unknown,7,4
CS-0178,cli:gpd.phase.list,state-projection-parity,gpd phase list,product_local_or_unknown,7,1
CS-0179,cli:gpd.state.record-session,resume-session-continuity,gpd state record-session --resume-file HANDOFF.md --last-result-id rst-qfc-exact,product_local_or_unknown,7,1
CS-0180,cli:gpd.validate.consistency,validation-contract-precision,gpd validate consistency,product_local_or_unknown,7,3
CS-0181,cli:gpd.validate.project-contract,resume-session-continuity,gpd validate project-contract,product_local_or_unknown,7,2
CS-0182,raw:gpd.progress,state-projection-parity,gpd --raw progress,product_local_or_unknown,7,2
CS-0183,raw:gpd.resume,resume-session-continuity,gpd --raw resume --recent,product_local_or_unknown,7,1
CS-0184,raw:gpd.roadmap.analyze,state-projection-parity,gpd roadmap analyze --raw,product_local_or_unknown,7,1
CS-0185,runtime:gpd.add-phase,state-projection-parity,gpd:add-phase,product_local_or_unknown,7,1
CS-0186,unknown,mutation-ordering-durability,Git Status.uncommitted_files = 1,product_local_or_unknown,7,1
CS-0187,unknown,resume-session-continuity,GPD artifacts as the source draft,product_local_or_unknown,7,1
CS-0188,unknown,unknown,GPD/PROJECT.md,product_local_or_unknown,7,3
CS-0189,unknown,unknown,GPD/STATE.md,product_local_or_unknown,7,2
CS-0190,unknown:runtime-bridge,state-projection-parity,GPD MCP tool failure is broader than it first looked,runtime_boundary,7,1
CS-0191,cli:gpd.convention.list,validation-contract-precision,gpd convention list,product_local_or_unknown,6,4
CS-0192,cli:gpd.convention.set,state-projection-parity,gpd convention set,product_local_or_unknown,6,3
CS-0193,cli:gpd.frontmatter.validate,validation-contract-precision,gpd frontmatter validate --schema verification GPD/phases/01-core-holographic-constructions-and-anchor-papers/01-VERIFICATION.md,product_local_or_unknown,6,1
CS-0194,cli:gpd.health,resume-session-continuity,gpd health,runtime_boundary,6,6
CS-0195,cli:gpd.init.execute-phase,state-projection-parity,gpd init execute-phase 01 --stage phase_bootstrap,product_local_or_unknown,6,3
CS-0196,cli:gpd.init.plan-phase,registry-query-visibility,gpd init plan-phase 01 --stage phase_bootstrap,product_local_or_unknown,6,5
CS-0197,cli:gpd.init.plan-phase,state-projection-parity,gpd init plan-phase 1 --stage phase_bootstrap,product_local_or_unknown,6,2
CS-0198,cli:gpd.observe.sessions,registry-query-visibility,gpd observe sessions --last 5,product_local_or_unknown,6,4
CS-0199,cli:gpd.phase.add,runtime-bridge-parity,gpd phase add,environment_or_sandbox,6,6
CS-0200,cli:gpd.phase.complete,unknown,gpd phase complete 01,product_local_or_unknown,6,1
CS-0201,cli:gpd.progress,state-projection-parity,gpd progress,runtime_boundary,6,5
CS-0202,cli:gpd.result.list,state-projection-parity,gpd result list,product_local_or_unknown,6,4
CS-0203,cli:gpd.result.show,unknown,gpd result show,product_local_or_unknown,6,2
CS-0204,cli:gpd.resume,mutation-ordering-durability,gpd resume,product_local_or_unknown,6,6
CS-0205,cli:gpd.resume,resume-session-continuity,gpd resume,environment_or_sandbox,6,6
CS-0206,cli:gpd.resume,resume-session-continuity,gpd resume --recent,product_local_or_unknown,6,5
CS-0207,cli:gpd.state.load,registry-query-visibility,gpd state load,product_local_or_unknown,6,4
